100__Fid=8_M1.nrrd; Score: 9
100__Fid=8_M10.nrrd; Score: 1
100__Fid=8_M2.nrrd; Score: 1
100__Fid=8_M3.nrrd; Score: 8
100__Fid=8_M4.nrrd; Score: 8
100__Fid=8_M5.nrrd; Score: 4
100__Fid=8_M6.nrrd; Score: 9
100__Fid=8_M7.nrrd; Score: 6
100__Fid=8_M8.nrrd; Score: 7
100__Fid=8_M9.nrrd; Score: 9
112__Fid=9_M1.nrrd; Score: 3
112__Fid=9_M10.nrrd; Score: 4
112__Fid=9_M2.nrrd; Score: 2
112__Fid=9_M3.nrrd; Score: 5
112__Fid=9_M4.nrrd; Score: 5
112__Fid=9_M5.nrrd; Score: 1
112__Fid=9_M6.nrrd; Score: 4
112__Fid=9_M7.nrrd; Score: 3
112__Fid=9_M8.nrrd; Score: 1
112__Fid=9_M9.nrrd; Score: 5
118__Fid=10_M1.nrrd; Score: 4
118__Fid=10_M10.nrrd; Score: 7
118__Fid=10_M2.nrrd; Score: 7
118__Fid=10_M3.nrrd; Score: 3
118__Fid=10_M4.nrrd; Score: 5
118__Fid=10_M5.nrrd; Score: 6
118__Fid=10_M6.nrrd; Score: 8
118__Fid=10_M7.nrrd; Score: 4
118__Fid=10_M8.nrrd; Score: 8
118__Fid=10_M9.nrrd; Score: 3
149__Fid=11_M1.nrrd; Score: 9
149__Fid=11_M10.nrrd; Score: 9
149__Fid=11_M2.nrrd; Score: 4
149__Fid=11_M3.nrrd; Score: 7
149__Fid=11_M4.nrrd; Score: 1
149__Fid=11_M5.nrrd; Score: 7
149__Fid=11_M6.nrrd; Score: 9
149__Fid=11_M7.nrrd; Score: 3
149__Fid=11_M8.nrrd; Score: 9
149__Fid=11_M9.nrrd; Score: 9
154__Fid=12_M1.nrrd; Score: 5
154__Fid=12_M10.nrrd; Score: 7
154__Fid=12_M2.nrrd; Score: 5
154__Fid=12_M3.nrrd; Score: 4
154__Fid=12_M4.nrrd; Score: 4
154__Fid=12_M5.nrrd; Score: 4
154__Fid=12_M6.nrrd; Score: 3
154__Fid=12_M7.nrrd; Score: 8
154__Fid=12_M8.nrrd; Score: 7
154__Fid=12_M9.nrrd; Score: 4
160__Fid=13_M1.nrrd; Score: 6
160__Fid=13_M10.nrrd; Score: 9
160__Fid=13_M2.nrrd; Score: 8
160__Fid=13_M3.nrrd; Score: 7
160__Fid=13_M4.nrrd; Score: 7
160__Fid=13_M5.nrrd; Score: 8
160__Fid=13_M6.nrrd; Score: 9
160__Fid=13_M7.nrrd; Score: 5
160__Fid=13_M8.nrrd; Score: 7
160__Fid=13_M9.nrrd; Score: 5
18__Fid=2_M1.nrrd; Score: 1
18__Fid=2_M10.nrrd; Score: 1
18__Fid=2_M11.nrrd; Score: 2
18__Fid=2_M2.nrrd; Score: 1
18__Fid=2_M3.nrrd; Score: 1
18__Fid=2_M4.nrrd; Score: 1
18__Fid=2_M5.nrrd; Score: 3
18__Fid=2_M6.nrrd; Score: 2
18__Fid=2_M7.nrrd; Score: 4
18__Fid=2_M8.nrrd; Score: 1
18__Fid=2_M9.nrrd; Score: 1
24__Fid=3_M1.nrrd; Score: 2
24__Fid=3_M10.nrrd; Score: 5
24__Fid=3_M2.nrrd; Score: 6
24__Fid=3_M3.nrrd; Score: 2
24__Fid=3_M4.nrrd; Score: 1
24__Fid=3_M5.nrrd; Score: 1
24__Fid=3_M6.nrrd; Score: 4
24__Fid=3_M7.nrrd; Score: 1
24__Fid=3_M8.nrrd; Score: 3
24__Fid=3_M9.nrrd; Score: 1
30__Fid=4_M1.nrrd; Score: 4
30__Fid=4_M10.nrrd; Score: 2
30__Fid=4_M2.nrrd; Score: 2
30__Fid=4_M3.nrrd; Score: 5
30__Fid=4_M4.nrrd; Score: 3
30__Fid=4_M5.nrrd; Score: 3
30__Fid=4_M6.nrrd; Score: 2
30__Fid=4_M7.nrrd; Score: 3
30__Fid=4_M8.nrrd; Score: 5
30__Fid=4_M9.nrrd; Score: 3
36__Fid=14_M1.nrrd; Score: 3
36__Fid=14_M10.nrrd; Score: 8
36__Fid=14_M2.nrrd; Score: 3
36__Fid=14_M3.nrrd; Score: 5
36__Fid=14_M4.nrrd; Score: 9
36__Fid=14_M5.nrrd; Score: 9
36__Fid=14_M6.nrrd; Score: 2
36__Fid=14_M7.nrrd; Score: 4
36__Fid=14_M8.nrrd; Score: 4
36__Fid=14_M9.nrrd; Score: 1
42__Fid=5_M1.nrrd; Score: 3
42__Fid=5_M10.nrrd; Score: 1
