volname: images/set1/100__Fid=8_M01.nrrd; Score: 10
volname: images/set1/100__Fid=8_M02.nrrd; Score: 10
volname: images/set1/100__Fid=8_M03.nrrd; Score: 10
volname: images/set1/100__Fid=8_M04.nrrd; Score: 10
volname: images/set1/100__Fid=8_M05.nrrd; Score: 10
volname: images/set1/100__Fid=8_M06.nrrd; Score: 10
volname: images/set1/100__Fid=8_M07.nrrd; Score: 10
volname: images/set1/100__Fid=8_M08.nrrd; Score: 10
volname: images/set1/100__Fid=8_M09.nrrd; Score: 10
volname: images/set1/100__Fid=8_M10.nrrd; Score: 10
volname: images/set1/112__Fid=9_M01.nrrd; Score: 10
volname: images/set1/112__Fid=9_M02.nrrd; Score: 10
volname: images/set1/112__Fid=9_M03.nrrd; Score: 10
volname: images/set1/112__Fid=9_M04.nrrd; Score: 10
volname: images/set1/112__Fid=9_M05.nrrd; Score: 10
volname: images/set1/112__Fid=9_M06.nrrd; Score: 10
volname: images/set1/112__Fid=9_M07.nrrd; Score: 10
volname: images/set1/112__Fid=9_M08.nrrd; Score: 10
volname: images/set1/112__Fid=9_M09.nrrd; Score: 10
volname: images/set1/112__Fid=9_M10.nrrd; Score: 10
volname: images/set1/118__Fid=10_M01.nrrd; Score: 10
volname: images/set1/118__Fid=10_M02.nrrd; Score: 10
volname: images/set1/118__Fid=10_M03.nrrd; Score: 10
volname: images/set1/118__Fid=10_M04.nrrd; Score: 10
volname: images/set1/118__Fid=10_M05.nrrd; Score: 10
volname: images/set1/118__Fid=10_M06.nrrd; Score: 10
volname: images/set1/118__Fid=10_M07.nrrd; Score: 10
volname: images/set1/118__Fid=10_M08.nrrd; Score: 10
volname: images/set1/118__Fid=10_M09.nrrd; Score: 10
volname: images/set1/118__Fid=10_M10.nrrd; Score: 10
volname: images/set1/149__Fid=11_M01.nrrd; Score: 10
volname: images/set1/149__Fid=11_M02.nrrd; Score: 10
volname: images/set1/149__Fid=11_M03.nrrd; Score: 10
volname: images/set1/149__Fid=11_M04.nrrd; Score: 10
volname: images/set1/149__Fid=11_M05.nrrd; Score: 10
volname: images/set1/149__Fid=11_M06.nrrd; Score: 10
volname: images/set1/149__Fid=11_M07.nrrd; Score: 10
volname: images/set1/149__Fid=11_M08.nrrd; Score: 10
volname: images/set1/149__Fid=11_M09.nrrd; Score: 10
volname: images/set1/149__Fid=11_M10.nrrd; Score: 10
volname: images/set1/154__Fid=12_M01.nrrd; Score: 10
volname: images/set1/154__Fid=12_M02.nrrd; Score: 10
volname: images/set1/154__Fid=12_M03.nrrd; Score: 10
volname: images/set1/154__Fid=12_M04.nrrd; Score: 10
volname: images/set1/154__Fid=12_M05.nrrd; Score: 10
volname: images/set1/154__Fid=12_M06.nrrd; Score: 10
volname: images/set1/154__Fid=12_M07.nrrd; Score: 10
volname: images/set1/154__Fid=12_M08.nrrd; Score: 10
volname: images/set1/154__Fid=12_M09.nrrd; Score: 10
volname: images/set1/154__Fid=12_M10.nrrd; Score: 10
volname: images/set1/160__Fid=13_M01.nrrd; Score: 10
volname: images/set1/160__Fid=13_M02.nrrd; Score: 10
volname: images/set1/160__Fid=13_M03.nrrd; Score: 10
volname: images/set1/160__Fid=13_M04.nrrd; Score: 10
volname: images/set1/160__Fid=13_M05.nrrd; Score: 10
volname: images/set1/160__Fid=13_M06.nrrd; Score: 10
volname: images/set1/160__Fid=13_M07.nrrd; Score: 10
volname: images/set1/160__Fid=13_M08.nrrd; Score: 10
volname: images/set1/160__Fid=13_M09.nrrd; Score: 10
volname: images/set1/160__Fid=13_M10.nrrd; Score: 10
volname: images/set1/18__Fid=2_M01.nrrd; Score: 10
volname: images/set1/18__Fid=2_M02.nrrd; Score: 10
volname: images/set1/18__Fid=2_M03.nrrd; Score: 10
volname: images/set1/18__Fid=2_M04.nrrd; Score: 10
volname: images/set1/18__Fid=2_M05.nrrd; Score: 10
volname: images/set1/18__Fid=2_M06.nrrd; Score: 10
volname: images/set1/18__Fid=2_M07.nrrd; Score: 10
volname: images/set1/18__Fid=2_M08.nrrd; Score: 10
volname: images/set1/18__Fid=2_M09.nrrd; Score: 10
volname: images/set1/18__Fid=2_M10.nrrd; Score: 10
volname: images/set1/24__Fid=3_M01.nrrd; Score: 10
volname: images/set1/24__Fid=3_M02.nrrd; Score: 10
volname: images/set1/24__Fid=3_M03.nrrd; Score: 10
volname: images/set1/24__Fid=3_M04.nrrd; Score: 10
