volname: images/100__ArtAmpl=344.94_mu=77.54_Sigma=18.39_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 7
volname: images/100__ArtAmpl=356.13_mu=69.34_Sigma=18.83_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 1
volname: images/100__ArtAmpl=365.59_mu=72.59_Sigma=23.25_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 8
volname: images/100__ArtAmpl=368.01_mu=72.91_Sigma=17.24_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 8
volname: images/100__ArtAmpl=373.13_mu=68.74_Sigma=21.1_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 3
volname: images/100__ArtAmpl=373.26_mu=79.54_Sigma=20.16_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 8
volname: images/100__ArtAmpl=376.12_mu=73.06_Sigma=22.26_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 8
volname: images/100__ArtAmpl=376.61_mu=73.52_Sigma=16.85_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 8
volname: images/100__ArtAmpl=377.7_mu=74.01_Sigma=16.85_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 4
volname: images/100__ArtAmpl=378.61_mu=71.44_Sigma=16.49_SigSt=4.0_Bif=81_Spl=1_Fid=8_ED_BinModel__Stack.nrrd; Score: 1
volname: images/112__ArtAmpl=254.37_mu=115.36_Sigma=48.85_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 6
volname: images/112__ArtAmpl=254.45_mu=106.96_Sigma=54.78_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 5
volname: images/112__ArtAmpl=254.55_mu=102.12_Sigma=59.65_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 6
volname: images/112__ArtAmpl=254.58_mu=107.37_Sigma=58.53_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 8
volname: images/112__ArtAmpl=254.61_mu=93.27_Sigma=52.27_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 1
volname: images/112__ArtAmpl=254.61_mu=96.76_Sigma=57.11_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 4
volname: images/112__ArtAmpl=254.6_mu=100.98_Sigma=50.29_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 2
volname: images/112__ArtAmpl=254.6_mu=97.75_Sigma=56.66_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 1
volname: images/112__ArtAmpl=254.71_mu=98.44_Sigma=50.02_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 6
volname: images/112__ArtAmpl=254.72_mu=98.2_Sigma=53.31_SigSt=4.0_Bif=58_Spl=1_Fid=9_ED_BinModel__Stack.nrrd; Score: 6
volname: images/118__ArtAmpl=254.62_mu=84.57_Sigma=39.07_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 7
volname: images/118__ArtAmpl=254.71_mu=83.72_Sigma=40.01_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 7
volname: images/118__ArtAmpl=254.72_mu=97.15_Sigma=38.14_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 7
volname: images/118__ArtAmpl=254.75_mu=103.29_Sigma=34.72_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 8
volname: images/118__ArtAmpl=254.75_mu=98.31_Sigma=39.66_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 9
volname: images/118__ArtAmpl=254.7_mu=97.06_Sigma=36.17_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 7
volname: images/118__ArtAmpl=254.81_mu=101.57_Sigma=39.12_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 6
volname: images/118__ArtAmpl=254.85_mu=101.43_Sigma=40.41_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 9
volname: images/118__ArtAmpl=254.86_mu=103.21_Sigma=37.44_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 6
volname: images/118__ArtAmpl=254.87_mu=97.68_Sigma=40.89_SigSt=4.0_Bif=32_Spl=1_Fid=10_ED_BinModel__Stack.nrrd; Score: 7
volname: images/149__ArtAmpl=482.13_mu=74.79_Sigma=51.76_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 6
volname: images/149__ArtAmpl=505.0_mu=85.99_Sigma=53.38_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 3
volname: images/149__ArtAmpl=511.84_mu=85.26_Sigma=58.14_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 3
volname: images/149__ArtAmpl=514.92_mu=78.71_Sigma=61.44_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 1
volname: images/149__ArtAmpl=529.25_mu=83.37_Sigma=45.8_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 7
volname: images/149__ArtAmpl=529.44_mu=81.71_Sigma=56.94_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 6
volname: images/149__ArtAmpl=531.86_mu=81.98_Sigma=53.66_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 6
volname: images/149__ArtAmpl=532.65_mu=70.78_Sigma=58.95_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 8
volname: images/149__ArtAmpl=537.37_mu=74.76_Sigma=51.05_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 6
volname: images/149__ArtAmpl=537.58_mu=80.51_Sigma=60.07_SigSt=4.0_Bif=34_Spl=1_Fid=11_ED_BinModel__Stack.nrrd; Score: 7
volname: images/154__ArtAmpl=911.95_mu=138.64_Sigma=80.26_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 3
volname: images/154__ArtAmpl=911.99_mu=132.79_Sigma=72.91_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 9
volname: images/154__ArtAmpl=914.52_mu=116.66_Sigma=80.62_SigSt=4.0_Bif=18_Spl=1_Fid=12_ED_BinModel__Stack.nrrd; Score: 3
