volname: images/A1.nrrd; Score: 10
volname: images/A2.nrrd; Score: 1
volname: images/A3.nrrd; Score: 5
volname: images/A4.nrrd; Score: 1
volname: images/A5.nrrd; Score: 1
volname: images/set2/106__Fid=7_M01.nrrd; Score: 7
volname: images/set2/106__Fid=7_M02.nrrd; Score: 9
volname: images/set2/106__Fid=7_M03.nrrd; Score: 7
volname: images/set2/106__Fid=7_M04.nrrd; Score: 8
volname: images/set2/106__Fid=7_M05.nrrd; Score: 3
volname: images/set2/106__Fid=7_M06.nrrd; Score: 8
volname: images/set2/106__Fid=7_M07.nrrd; Score: 3
volname: images/set2/106__Fid=7_M08.nrrd; Score: 2
volname: images/set2/106__Fid=7_M09.nrrd; Score: 7
volname: images/set2/106__Fid=7_M10.nrrd; Score: 2
volname: images/set2/124__Fid=8_M01.nrrd; Score: 3
volname: images/set2/124__Fid=8_M02.nrrd; Score: 6
volname: images/set2/124__Fid=8_M03.nrrd; Score: 7
volname: images/set2/124__Fid=8_M04.nrrd; Score: 5
volname: images/set2/124__Fid=8_M05.nrrd; Score: 2
volname: images/set2/124__Fid=8_M06.nrrd; Score: 7
volname: images/set2/124__Fid=8_M07.nrrd; Score: 7
volname: images/set2/124__Fid=8_M08.nrrd; Score: 1
volname: images/set2/124__Fid=8_M09.nrrd; Score: 8
volname: images/set2/124__Fid=8_M10.nrrd; Score: 4
volname: images/set2/126__Fid=9_M01.nrrd; Score: 3
volname: images/set2/126__Fid=9_M02.nrrd; Score: 4
volname: images/set2/126__Fid=9_M03.nrrd; Score: 6
volname: images/set2/126__Fid=9_M04.nrrd; Score: 3
volname: images/set2/126__Fid=9_M05.nrrd; Score: 6
volname: images/set2/126__Fid=9_M06.nrrd; Score: 6
volname: images/set2/126__Fid=9_M07.nrrd; Score: 4
volname: images/set2/126__Fid=9_M08.nrrd; Score: 4
volname: images/set2/126__Fid=9_M09.nrrd; Score: 3
volname: images/set2/126__Fid=9_M10.nrrd; Score: 9
volname: images/set2/12__Fid=1_M01.nrrd; Score: 1
volname: images/set2/12__Fid=1_M02.nrrd; Score: 2
volname: images/set2/12__Fid=1_M03.nrrd; Score: 3
volname: images/set2/12__Fid=1_M04.nrrd; Score: 3
volname: images/set2/12__Fid=1_M05.nrrd; Score: 7
volname: images/set2/12__Fid=1_M06.nrrd; Score: 5
volname: images/set2/12__Fid=1_M07.nrrd; Score: 1
volname: images/set2/12__Fid=1_M08.nrrd; Score: 2
volname: images/set2/12__Fid=1_M09.nrrd; Score: 2
volname: images/set2/12__Fid=1_M10.nrrd; Score: 1
volname: images/set2/130__Fid=10_M01.nrrd; Score: 3
volname: images/set2/130__Fid=10_M02.nrrd; Score: 6
volname: images/set2/130__Fid=10_M03.nrrd; Score: 2
volname: images/set2/130__Fid=10_M04.nrrd; Score: 1
volname: images/set2/130__Fid=10_M05.nrrd; Score: 3
volname: images/set2/130__Fid=10_M06.nrrd; Score: 3
volname: images/set2/130__Fid=10_M07.nrrd; Score: 2
volname: images/set2/130__Fid=10_M08.nrrd; Score: 2
volname: images/set2/130__Fid=10_M09.nrrd; Score: 1
volname: images/set2/130__Fid=10_M10.nrrd; Score: 4
volname: images/set2/136__Fid=14_M01.nrrd; Score: 6
volname: images/set2/136__Fid=14_M02.nrrd; Score: 1
volname: images/set2/136__Fid=14_M03.nrrd; Score: 1
volname: images/set2/136__Fid=14_M04.nrrd; Score: 10
volname: images/set2/136__Fid=14_M05.nrrd; Score: 4
volname: images/set2/136__Fid=14_M06.nrrd; Score: 7
volname: images/set2/136__Fid=14_M07.nrrd; Score: 9
volname: images/set2/136__Fid=14_M08.nrrd; Score: 1
volname: images/set2/136__Fid=14_M09.nrrd; Score: 8
volname: images/set2/136__Fid=14_M10.nrrd; Score: 1
volname: images/set2/142__Fid=11_M01.nrrd; Score: 1
volname: images/set2/142__Fid=11_M02.nrrd; Score: 1
volname: images/set2/142__Fid=11_M03.nrrd; Score: 4
volname: images/set2/142__Fid=11_M04.nrrd; Score: 3
volname: images/set2/142__Fid=11_M05.nrrd; Score: 2
volname: images/set2/142__Fid=11_M06.nrrd; Score: 7
volname: images/set2/142__Fid=11_M07.nrrd; Score: 4
volname: images/set2/142__Fid=11_M08.nrrd; Score: 1
volname: images/set2/142__Fid=11_M09.nrrd; Score: 7
volname: images/set2/142__Fid=11_M10.nrrd; Score: 6
volname: images/set2/146__Fid=13_M01.nrrd; Score: 6
volname: images/set2/146__Fid=13_M02.nrrd; Score: 8
volname: images/set2/146__Fid=13_M03.nrrd; Score: 6
volname: images/set2/146__Fid=13_M04.nrrd; Score: 4
volname: images/set2/146__Fid=13_M05.nrrd; Score: 9
volname: images/set2/146__Fid=13_M06.nrrd; Score: 1
volname: images/set2/146__Fid=13_M07.nrrd; Score: 2
volname: images/set2/146__Fid=13_M08.nrrd; Score: 9
volname: images/set2/146__Fid=13_M09.nrrd; Score: 9
volname: images/set2/146__Fid=13_M10.nrrd; Score: 6
volname: images/set2/152__Fid=15_M01.nrrd; Score: 4
volname: images/set2/152__Fid=15_M02.nrrd; Score: 9
volname: images/set2/152__Fid=15_M03.nrrd; Score: 4
volname: images/set2/152__Fid=15_M04.nrrd; Score: 9
volname: images/set2/152__Fid=15_M05.nrrd; Score: 9
volname: images/set2/152__Fid=15_M06.nrrd; Score: 8
volname: images/set2/152__Fid=15_M07.nrrd; Score: 9
volname: images/set2/152__Fid=15_M08.nrrd; Score: 7
volname: images/set2/152__Fid=15_M09.nrrd; Score: 7
volname: images/set2/152__Fid=15_M10.nrrd; Score: 9
volname: images/set2/166__Fid=12_M01.nrrd; Score: 4
volname: images/set2/166__Fid=12_M02.nrrd; Score: 2
volname: images/set2/166__Fid=12_M03.nrrd; Score: 3
volname: images/set2/166__Fid=12_M04.nrrd; Score: 4
volname: images/set2/166__Fid=12_M05.nrrd; Score: 4
volname: images/set2/166__Fid=12_M06.nrrd; Score: 3
volname: images/set2/166__Fid=12_M07.nrrd; Score: 8
volname: images/set2/166__Fid=12_M08.nrrd; Score: 2
volname: images/set2/166__Fid=12_M09.nrrd; Score: 7
volname: images/set2/166__Fid=12_M10.nrrd; Score: 2
volname: images/set2/36__Fid=2_M01.nrrd; Score: 7
volname: images/set2/36__Fid=2_M02.nrrd; Score: 6
volname: images/set2/36__Fid=2_M03.nrrd; Score: 1
volname: images/set2/36__Fid=2_M04.nrrd; Score: 1
volname: images/set2/36__Fid=2_M05.nrrd; Score: 4
volname: images/set2/36__Fid=2_M06.nrrd; Score: 2
volname: images/set2/36__Fid=2_M07.nrrd; Score: 4
volname: images/set2/36__Fid=2_M08.nrrd; Score: 3
volname: images/set2/36__Fid=2_M09.nrrd; Score: 1
volname: images/set2/36__Fid=2_M10.nrrd; Score: 8
volname: images/set2/48__Fid=3_M01.nrrd; Score: 1
volname: images/set2/48__Fid=3_M02.nrrd; Score: 2
volname: images/set2/48__Fid=3_M03.nrrd; Score: 7
volname: images/set2/48__Fid=3_M04.nrrd; Score: 2
volname: images/set2/48__Fid=3_M05.nrrd; Score: 3
volname: images/set2/48__Fid=3_M06.nrrd; Score: 2
volname: images/set2/48__Fid=3_M07.nrrd; Score: 1
volname: images/set2/48__Fid=3_M08.nrrd; Score: 1
volname: images/set2/48__Fid=3_M09.nrrd; Score: 1
volname: images/set2/48__Fid=3_M10.nrrd; Score: 1
volname: images/set2/55__Fid=4_M01.nrrd; Score: 4
volname: images/set2/55__Fid=4_M02.nrrd; Score: 8
volname: images/set2/55__Fid=4_M03.nrrd; Score: 9
volname: images/set2/55__Fid=4_M04.nrrd; Score: 5
volname: images/set2/55__Fid=4_M05.nrrd; Score: 4
volname: images/set2/55__Fid=4_M06.nrrd; Score: 2
volname: images/set2/55__Fid=4_M07.nrrd; Score: 5
volname: images/set2/55__Fid=4_M08.nrrd; Score: 3
volname: images/set2/55__Fid=4_M09.nrrd; Score: 3
volname: images/set2/55__Fid=4_M10.nrrd; Score: 3
volname: images/set2/73__Fid=5_M01.nrrd; Score: 1
volname: images/set2/73__Fid=5_M02.nrrd; Score: 7
volname: images/set2/73__Fid=5_M03.nrrd; Score: 1
volname: images/set2/73__Fid=5_M04.nrrd; Score: 1
volname: images/set2/73__Fid=5_M05.nrrd; Score: 8
volname: images/set2/73__Fid=5_M06.nrrd; Score: 4
volname: images/set2/73__Fid=5_M07.nrrd; Score: 3
volname: images/set2/73__Fid=5_M08.nrrd; Score: 8
volname: images/set2/73__Fid=5_M09.nrrd; Score: 1
volname: images/set2/73__Fid=5_M10.nrrd; Score: 1
volname: images/set2/79__Fid=6_M01.nrrd; Score: 7
volname: images/set2/79__Fid=6_M02.nrrd; Score: 8
volname: images/set2/79__Fid=6_M03.nrrd; Score: 4
volname: images/set2/79__Fid=6_M04.nrrd; Score: 3
volname: images/set2/79__Fid=6_M05.nrrd; Score: 6
volname: images/set2/79__Fid=6_M06.nrrd; Score: 8
volname: images/set2/79__Fid=6_M07.nrrd; Score: 2
volname: images/set2/79__Fid=6_M08.nrrd; Score: 3
volname: images/set2/79__Fid=6_M09.nrrd; Score: 2
volname: images/set2/79__Fid=6_M10.nrrd; Score: 5
volname: images/start.nrrd; Score: 5
